Array,Port,GridRow,GridCol,ElectrodeID,NSP_ID
SMA,Port B,0,0,1,146
SMA,Port B,0,1,9,151
SMA,Port A,0,2,17,19
SMA,Port A,0,3,25,3
SMA,Port B,0,4,33,153
SMA,Port A,0,5,41,21
SMA,Port B,0,6,49,150
SMA,Port A,0,7,57,26
SMA,Port B,1,0,2,141
SMA,Port B,1,1,10,147
SMA,Port A,1,2,18,23
SMA,Port A,1,3,26,9
SMA,Port B,1,4,34,149
SMA,Port A,1,5,42,25
SMA,Port B,1,6,50,145
SMA,Port A,1,7,58,29
SMA,Port B,2,0,3,135
SMA,Port B,2,1,11,142
SMA,Port B,2,2,19,155
SMA,Port A,2,3,27,15
SMA,Port B,2,4,35,144
SMA,Port A,2,5,43,28
SMA,Port B,2,6,51,139
SMA,Port A,2,7,59,31
SMA,Port B,3,0,4,129
SMA,Port B,3,1,12,136
SMA,Port B,3,2,20,152
SMA,Port A,3,3,28,20
SMA,Port B,3,4,36,138
SMA,Port A,3,5,44,30
SMA,Port B,3,6,52,133
SMA,Port A,3,7,60,32
SMA,Port A,4,0,5,1
SMA,Port B,4,1,13,130
SMA,Port B,4,2,21,148
SMA,Port A,4,3,29,24
SMA,Port B,4,4,37,132
SMA,Port B,4,5,45,160
SMA,Port A,4,6,53,5
SMA,Port B,4,7,61,192
SMA,Port A,5,0,6,7
SMA,Port A,5,1,14,2
SMA,Port B,5,2,22,143
SMA,Port A,5,3,30,27
SMA,Port A,5,4,38,4
SMA,Port B,5,5,46,159
SMA,Port A,5,6,54,11
SMA,Port B,5,7,62,189
SMA,Port A,6,0,7,13
SMA,Port A,6,1,15,8
SMA,Port B,6,2,23,137
SMA,Port B,6,3,31,158
SMA,Port A,6,4,39,10
SMA,Port B,6,5,47,157
SMA,Port A,6,6,55,17
SMA,Port B,6,7,63,186
SMA,Port A,7,0,8,18
SMA,Port A,7,1,16,14
SMA,Port B,7,2,24,131
SMA,Port B,7,3,32,156
SMA,Port A,7,4,40,16
SMA,Port B,7,5,48,154
SMA,Port A,7,6,56,22
SMA,Port B,7,7,64,182
PMd,Port B,0,0,65,178
PMd,Port A,0,1,73,46
PMd,Port B,0,2,81,185
PMd,Port A,0,3,89,38
PMd,Port B,0,4,97,190
PMd,Port B,0,5,105,162
PMd,Port A,0,6,113,59
PMd,Port B,0,7,121,167
PMd,Port B,1,0,66,174
PMd,Port A,1,1,74,50
PMd,Port B,1,2,82,181
PMd,Port A,1,3,90,41
PMd,Port B,1,4,98,187
PMd,Port A,1,5,106,34
PMd,Port A,1,6,114,62
PMd,Port B,1,7,122,164
PMd,Port B,2,0,67,170
PMd,Port A,2,1,75,54
PMd,Port B,2,2,83,177
PMd,Port A,2,3,91,45
PMd,Port B,2,4,99,184
PMd,Port A,2,5,107,37
PMd,Port B,2,6,115,221
PMd,Port B,2,7,123,161
PMd,Port B,3,0,68,140
PMd,Port A,3,1,76,58
PMd,Port B,3,2,84,173
PMd,Port A,3,3,92,49
PMd,Port B,3,4,100,180
PMd,Port A,3,5,108,40
PMd,Port B,3,6,116,217
PMd,Port A,3,7,124,33
PMd,Port B,4,0,69,134
PMd,Port A,4,1,77,61
PMd,Port B,4,2,85,169
PMd,Port A,4,3,93,53
PMd,Port B,4,4,101,176
PMd,Port A,4,5,109,44
PMd,Port B,4,6,117,183
PMd,Port A,4,7,125,36
PMd,Port A,5,0,70,6
PMd,Port A,5,1,78,64
PMd,Port B,5,2,86,166
PMd,Port A,5,3,94,57
PMd,Port B,5,4,102,172
PMd,Port A,5,5,110,48
PMd,Port B,5,6,118,179
PMd,Port A,5,7,126,39
PMd,Port A,6,0,71,12
PMd,Port B,6,1,79,191
PMd,Port B,6,2,87,163
PMd,Port A,6,3,95,60
PMd,Port B,6,4,103,168
PMd,Port A,6,5,111,52
PMd,Port B,6,6,119,175
PMd,Port A,6,7,127,43
PMd,Port A,7,0,72,42
PMd,Port B,7,1,80,188
PMd,Port A,7,2,88,35
PMd,Port A,7,3,96,63
PMd,Port B,7,4,104,165
PMd,Port A,7,5,112,56
PMd,Port B,7,6,120,171
PMd,Port A,7,7,128,47
M1i,Port A,0,0,129,51
M1i,Port B,0,1,137,208
M1i,Port A,0,2,145,77
M1i,Port B,0,3,153,215
M1i,Port A,0,4,161,70
M1i,Port B,0,5,169,224
M1i,Port B,0,6,177,195
M1i,Port A,0,7,185,92
M1i,Port A,1,0,130,55
M1i,Port B,1,1,138,205
M1i,Port A,1,2,146,80
M1i,Port B,1,3,154,212
M1i,Port A,1,4,162,74
M1i,Port B,1,5,170,220
M1i,Port A,1,6,178,67
M1i,Port A,1,7,186,96
M1i,Port A,2,0,131,89
M1i,Port B,2,1,139,201
M1i,Port A,2,2,147,83
M1i,Port B,2,3,155,209
M1i,Port A,2,4,163,78
M1i,Port B,2,5,171,216
M1i,Port A,2,6,179,71
M1i,Port B,2,7,187,256
M1i,Port A,3,0,132,93
M1i,Port B,3,1,140,197
M1i,Port A,3,2,148,86
M1i,Port B,3,3,156,206
M1i,Port A,3,4,164,81
M1i,Port B,3,5,172,213
M1i,Port A,3,6,180,75
M1i,Port B,3,7,188,254
M1i,Port B,4,0,133,222
M1i,Port B,4,1,141,193
M1i,Port A,4,2,149,90
M1i,Port B,4,3,157,202
M1i,Port A,4,4,165,84
M1i,Port B,4,5,173,210
M1i,Port A,4,6,181,79
M1i,Port B,4,7,189,251
M1i,Port B,5,0,134,218
M1i,Port A,5,1,142,65
M1i,Port A,5,2,150,94
M1i,Port B,5,3,158,198
M1i,Port A,5,4,166,87
M1i,Port B,5,5,174,207
M1i,Port A,5,6,182,82
M1i,Port B,5,7,190,247
M1i,Port B,6,0,135,214
M1i,Port A,6,1,143,69
M1i,Port B,6,2,151,223
M1i,Port B,6,3,159,194
M1i,Port A,6,4,167,91
M1i,Port B,6,5,175,203
M1i,Port A,6,6,183,85
M1i,Port B,6,7,191,242
M1i,Port B,7,0,136,211
M1i,Port A,7,1,144,73
