Array,Port,GridRow,GridCol,ElectrodeID,NSP_ID
M1s,Port B,0,0,1,146
M1s,Port B,0,1,9,151
M1s,Port A,0,2,17,19
M1s,Port A,0,3,25,3
M1s,Port B,0,4,33,153
M1s,Port A,0,5,41,21
M1s,Port B,0,6,49,150
M1s,Port A,0,7,57,26
M1s,Port B,1,0,2,141
M1s,Port B,1,1,10,147
M1s,Port A,1,2,18,23
M1s,Port A,1,3,26,9
M1s,Port B,1,4,34,149
M1s,Port A,1,5,42,25
M1s,Port B,1,6,50,145
M1s,Port A,1,7,58,29
M1s,Port B,2,0,3,135
M1s,Port B,2,1,11,142
M1s,Port B,2,2,19,155
M1s,Port A,2,3,27,15
M1s,Port B,2,4,35,144
M1s,Port A,2,5,43,28
M1s,Port B,2,6,51,139
M1s,Port A,2,7,59,31
M1s,Port B,3,0,4,129
M1s,Port B,3,1,12,136
M1s,Port B,3,2,20,152
M1s,Port A,3,3,28,20
M1s,Port B,3,4,36,138
M1s,Port A,3,5,44,30
M1s,Port B,3,6,52,133
M1s,Port A,3,7,60,32
M1s,Port A,4,0,5,1
M1s,Port B,4,1,13,130
M1s,Port B,4,2,21,148
M1s,Port A,4,3,29,24
M1s,Port B,4,4,37,132
M1s,Port B,4,5,45,160
M1s,Port A,4,6,53,5
M1s,Port B,4,7,61,192
M1s,Port A,5,0,6,7
M1s,Port A,5,1,14,2
M1s,Port B,5,2,22,143
M1s,Port A,5,3,30,27
M1s,Port A,5,4,38,4
M1s,Port B,5,5,46,159
M1s,Port A,5,6,54,11
M1s,Port B,5,7,62,189
M1s,Port A,6,0,7,13
M1s,Port A,6,1,15,8
M1s,Port B,6,2,23,137
M1s,Port B,6,3,31,158
M1s,Port A,6,4,39,10
M1s,Port B,6,5,47,157
M1s,Port A,6,6,55,17
M1s,Port B,6,7,63,186
M1s,Port A,7,0,8,18
M1s,Port A,7,1,16,14
M1s,Port B,7,2,24,131
M1s,Port B,7,3,32,156
M1s,Port A,7,4,40,16
M1s,Port B,7,5,48,154
M1s,Port A,7,6,56,22
M1s,Port B,7,7,64,182
M1i,Port B,0,0,65,178
M1i,Port A,0,1,73,46
M1i,Port B,0,2,81,185
M1i,Port A,0,3,89,38
M1i,Port B,0,4,97,190
M1i,Port B,0,5,105,162
M1i,Port A,0,6,113,59
M1i,Port B,0,7,121,167
M1i,Port B,1,0,66,174
M1i,Port A,1,1,74,50
M1i,Port B,1,2,82,181
M1i,Port A,1,3,90,41
M1i,Port B,1,4,98,187
M1i,Port A,1,5,106,34
M1i,Port A,1,6,114,62
M1i,Port B,1,7,122,164
M1i,Port B,2,0,67,170
M1i,Port A,2,1,75,54
M1i,Port B,2,2,83,177
M1i,Port A,2,3,91,45
M1i,Port B,2,4,99,184
M1i,Port A,2,5,107,37
M1i,Port B,2,6,115,221
M1i,Port B,2,7,123,161
M1i,Port B,3,0,68,140
M1i,Port A,3,1,76,58
M1i,Port B,3,2,84,173
M1i,Port A,3,3,92,49
M1i,Port B,3,4,100,180
M1i,Port A,3,5,108,40
M1i,Port B,3,6,116,217
M1i,Port A,3,7,124,33
M1i,Port B,4,0,69,134
M1i,Port A,4,1,77,61
M1i,Port B,4,2,85,169
M1i,Port A,4,3,93,53
M1i,Port B,4,4,101,176
M1i,Port A,4,5,109,44
M1i,Port B,4,6,117,183
M1i,Port A,4,7,125,36
M1i,Port A,5,0,70,6
M1i,Port A,5,1,78,64
M1i,Port B,5,2,86,166
M1i,Port A,5,3,94,57
M1i,Port B,5,4,102,172
M1i,Port A,5,5,110,48
M1i,Port B,5,6,118,179
M1i,Port A,5,7,126,39
M1i,Port A,6,0,71,12
M1i,Port B,6,1,79,191
M1i,Port B,6,2,87,163
M1i,Port A,6,3,95,60
M1i,Port B,6,4,103,168
M1i,Port A,6,5,111,52
M1i,Port B,6,6,119,175
M1i,Port A,6,7,127,43
M1i,Port A,7,0,72,42
M1i,Port B,7,1,80,188
M1i,Port A,7,2,88,35
M1i,Port A,7,3,96,63
M1i,Port B,7,4,104,165
M1i,Port A,7,5,112,56
M1i,Port B,7,6,120,171
M1i,Port A,7,7,128,47
SMA,Port A,0,0,129,51
SMA,Port B,0,1,137,208
SMA,Port A,0,2,145,77
SMA,Port B,0,3,153,215
SMA,Port A,0,4,161,70
SMA,Port B,0,5,169,224
SMA,Port B,0,6,177,195
SMA,Port A,0,7,185,92
SMA,Port A,1,0,130,55
SMA,Port B,1,1,138,205
SMA,Port A,1,2,146,80
SMA,Port B,1,3,154,212
SMA,Port A,1,4,162,74
SMA,Port B,1,5,170,220
SMA,Port A,1,6,178,67
SMA,Port A,1,7,186,96
SMA,Port A,2,0,131,89
SMA,Port B,2,1,139,201
SMA,Port A,2,2,147,83
SMA,Port B,2,3,155,209
SMA,Port A,2,4,163,78
SMA,Port B,2,5,171,216
SMA,Port A,2,6,179,71
SMA,Port B,2,7,187,256
