ARRAY: SMA (Values are NSP Channels)
,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7
Row 0,146,151,19,3,153,21,150,26
Row 1,141,147,23,9,149,25,145,29
Row 2,135,142,155,15,144,28,139,31
Row 3,129,136,152,20,138,30,133,32
Row 4,1,130,148,24,132,160,5,192
Row 5,7,2,143,27,4,159,11,189
Row 6,13,8,137,158,10,157,17,186
Row 7,18,14,131,156,16,154,22,182


ARRAY: PMd (Values are NSP Channels)
,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7
Row 0,178,46,185,38,190,162,59,167
Row 1,174,50,181,41,187,34,62,164
Row 2,170,54,177,45,184,37,221,161
Row 3,140,58,173,49,180,40,217,33
Row 4,134,61,169,53,176,44,183,36
Row 5,6,64,166,57,172,48,179,39
Row 6,12,191,163,60,168,52,175,43
Row 7,42,188,35,63,165,56,171,47


ARRAY: M1i (Values are NSP Channels)
,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7
Row 0,51,208,77,215,70,224,195,92
Row 1,55,205,80,212,74,220,67,96
Row 2,89,201,83,209,78,216,71,256
Row 3,93,197,86,206,81,213,75,254
Row 4,222,193,90,202,84,210,79,251
Row 5,218,65,94,198,87,207,82,247
Row 6,214,69,223,194,91,203,85,242
Row 7,211,73,219,66,95,199,88,237


ARRAY: M1s (Values are NSP Channels)
,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7
Row 0,204,119,238,115,234,121,99,236
Row 1,200,123,233,120,230,125,103,232
Row 2,196,126,229,124,226,250,107,228
Row 3,68,128,225,127,98,245,112,100
Row 4,72,255,97,253,102,240,117,104
Row 5,76,252,101,249,106,235,122,108
Row 6,109,248,105,244,111,231,246,113
Row 7,114,243,110,239,116,227,241,118

